,Position,Artist Name,Song Name,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
47,220,The Weeknd ,Call Out My Name,21.0,1,6,3490888,185191010,42,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,134.17,3,228373
50,245,Sleepy Hallow ,2055,12.0,7,0,826350,176244822,27,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,80.511,4,123987
51,251,The Walters ,I Love You So,38.0,7,0,683985,174547021,24,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,75.977,4,160240
52,252,Ed Sheeran ,Bad Habits,49.0,7,0,1259918,174488164,39,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,126.011,4,230747
54,258,Ed Sheeran ,Shivers,6.0,6,0,980767,173225595,28,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,141.02,4,207853
55,260,Adele ,Easy On Me,73.0,1,29,5435431,173180228,23,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,141.981,4,224695
56,261,Ariana Grande ,positions,69.0,1,25,2805107,172797966,74,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,144.015,4,172325
58,263,Kodak Black ,Super Gremlin,117.0,2,9,1054999,171909115,15,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,72.993,4,200548
59,277,Justin Bieber ,Ghost,4.0,9,0,895735,163964781,27,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,153.96,4,153190
60,279,Joji ,Glimpse of Us,83.0,1,16,2474076,163315058,9,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,169.914,3,233456
61,282,Kate Bush ,Running Up That Hill (A Deal With God),98.0,1,30,2430143,163034803,11,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,108.375,4,298933
62,290,Lil Nas X ,THATS WHAT I WANT,23.0,2,1,1896424,160369392,27,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,87.981,4,143901
63,293,Maroon 5 ,Memories,17.0,6,0,1118361,159686092,116,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,91.05,4,189486
64,300,Olivia Rodrigo ,favorite crime,32.0,4,0,1886343,156762362,31,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,172.929,4,152667
65,303,Masked Wolf ,Astronaut In The Ocean,58.0,4,0,1028047,155387513,53,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,149.996,4,132780
66,308,Hozier ,Take Me To Church,147.0,1,58,669026,152777306,75,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,128.945,4,241688
68,317,Lizzo ,About Damn Time,51.0,3,1,1276164,148776441,15,0.836,0.743,10,-6.305,0,0.0653,0.0974,0.0,0.335,108.965,4,191938
69,327,Doja Cat ,Ain't Shit,39.0,4,0,1413486,145660715,21,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,124.097,4,174253
70,334,Harry Styles ,Late Night Talking,29.0,2,10,3721821,144096811,12,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,114.996,4,177955
71,343,Morgan Wallen ,You Proof,6.0,9,0,1723507,141716685,2,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,119.706,4,157478
73,356,Harry Styles ,Falling,3.0,4,0,1454982,138072456,81,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,110.011,4,240133
75,372,Bad Bunny ,Efecto,16.0,9,0,1315548,134743830,14,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,98.047,4,213061
76,375,Bad Bunny ,Yonaguni,14.0,3,2,1727530,133665412,42,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,179.951,4,206710
77,384,BTS ,Dynamite,14.0,3,3,1824254,131917493,83,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,114.044,4,199054
78,391,Bad Bunny ,Moscow Mule,11.0,1,1,2582359,128972121,14,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,99.968,4,245940
81,415,OneRepublic ,I Ain't Worried,36.0,6,0,847839,122488638,10,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,139.994,4,148486
82,418,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),29.0,7,0,922178,121176458,10,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,159.969,4,182907
84,431,Måneskin ,Beggin',29.0,4,0,1100134,118922920,42,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,134.002,4,211560
86,460,GAYLE ,abcdefu,61.0,5,0,940468,112733991,19,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,121.932,4,168602
89,478,Olivia Rodrigo ,happier,29.0,5,0,2279399,109009363,44,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,168.924,3,175933
91,493,Olivia Rodrigo ,"jealousy, jealousy",4.0,9,0,1994138,106842027,29,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,163.929,4,173160
92,500,Frank Ocean ,Lost,1.0,10,0,657541,105158717,10,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,123.061,4,234093
93,515,XXXTENTACION ,Hope,1.0,10,0,1443350,102329254,35,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,146.04,4,110886
94,523,Taylor Swift ,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),24.0,1,9,3490740,100920020,19,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,93.023,4,613027
98,554,Nicki Minaj ,Super Freaky Girl,66.0,2,12,1573025,96391022,1,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,133.01,4,170977
99,565,Future ,PUFFIN ON ZOOTIEZ,7.0,4,0,1417345,94325787,5,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,124.992,4,172933
100,572,Bad Bunny ,Después de la Playa,8.0,3,2,2158520,93328473,14,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,78.293,4,230400
101,587,"Tyler, The Creator ",NEW MAGIC WAND,1.0,5,0,1537094,91144161,3,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,139.566,4,195320
103,602,Luke Combs ,The Kind of Love We Make,1.0,9,0,972167,88164187,1,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,102.025,4,224427
104,610,Dove Cameron ,Boyfriend,2.0,10,0,610722,86719217,6,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,179.773,3,153000
105,620,SZA ,I Hate U,13.0,1,6,1615102,85718549,7,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,106.703,5,174000
109,675,Jessica Darrow ,Surface Pressure,60.0,3,1,1003606,78691499,3,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,180.088,4,202227
110,680,Kanye West ,Praise God,5.0,6,0,2438681,78568531,19,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,118.029,4,226653
114,753,Beyoncé ,CUFF IT,2.0,6,0,1388259,70035649,2,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,115.042,4,225389
115,764,Kendrick Lamar ,N95,7.0,1,6,4972590,69261483,3,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,139.956,4,195950
118,832,BTS ,Butter,1.0,10,0,1917442,63425107,44,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,109.997,4,164442
123,867,Harry Styles ,Matilda,14.0,3,4,2881699,60459436,12,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,114.199,4,245964
124,869,Bad Bunny ,Un Ratito,3.0,9,0,1731264,60425066,14,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,93.05,4,176936
127,877,Charlie Puth ,Light Switch,2.0,6,0,859606,59716970,9,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,184.009,4,185681
128,889,Beyoncé ,BREAK MY SOUL,15.0,2,2,1990829,58766150,8,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,114.942,4,278282
129,912,Harry Styles ,Music For a Sushi Restaurant,14.0,3,3,3399921,57916775,12,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,107.041,4,193813
130,921,Harry Styles ,Golden,1.0,6,0,1403497,57121273,34,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,139.863,4,208907
134,960,Tate McRae ,she's all i wanna be,1.0,10,0,716119,54992060,7,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,160.036,4,206772
135,965,Taylor Swift ,august,7.0,6,0,2840040,54625767,7,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,89.937,4,261923
137,987,Jack Harlow ,Nail Tech,23.0,2,2,1135997,52488297,5,0.677,0.557,1,-8.409,1,0.0694,0.00508,8.36e-06,0.0984,150.127,4,206385
138,1001,Harry Styles ,Daylight,13.0,5,0,2833429,51560617,2,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,145.5,3,164533
139,1015,The Weeknd ,Take My Breath,10.0,3,1,1723476,50769835,2,0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,121.02,4,339023
141,1022,Lauren Spencer Smith ,Fingers Crossed,8.0,2,1,1182298,50353213,11,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,109.414,4,175345
149,1138,Adele ,Oh My God,7.0,2,2,2315914,44008064,18,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,88.098,4,225149
150,1163,Brent Faiyaz ,ALL MINE,1.0,7,0,983422,42901101,1,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,141.967,4,216063
153,1180,Harry Styles ,Satellite,6.0,8,0,2309793,42239560,2,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,138.984,4,218577
156,1274,Drake ,Sticky,6.0,4,0,2729748,38564856,5,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,137.027,4,243228
157,1291,Metallica ,Master Of Puppets,10.0,6,0,898009,38117862,6,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,105.173,4,515387
164,1368,Harry Styles ,Little Freak,8.0,5,0,2785290,35042124,2,0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,141.96,4,202183
168,1404,Jack Harlow ,Dua Lipa,3.0,7,0,1762710,33818973,4,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,158.022,4,135053
169,1418,Billie Eilish ,TV,1.0,8,0,869763,33410882,3,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,140.214,4,281381
171,1439,The Kid LAROI ,Thousand Miles,7.0,3,1,950356,32849517,6,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,80.565,4,164782
172,1441,Harry Styles ,Grapejuice,8.0,4,0,3003406,32762005,2,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,182.928,4,191959
176,1531,Morgan Wallen ,Don't Think Jesus,8.0,3,3,1448125,29980127,1,0.578,0.431,2,-7.034,1,0.0269,0.469,0.0,0.137,116.979,3,226975
177,1534,The Weeknd ,Sacrifice,12.0,1,2,1950078,29954189,11,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,122.0,4,188918
180,1573,Lil Baby ,Right On,1.0,6,0,740715,29180138,1,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,165.991,4,213976
182,1609,Juice WRLD ,Cigarettes,8.0,2,2,1182490,28338245,1,0.597,0.615,2,-6.346,1,0.0421,0.0303,0.0,0.378,160.014,4,227527
183,1614,Harry Styles ,Keep Driving,5.0,9,0,2312194,28086134,2,0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,164.948,3,140242
185,1620,Kendrick Lamar ,Rich Spirit,4.0,6,0,3239784,27912896,3,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,95.977,4,202285
191,1716,Harry Styles ,Cinema,6.0,8,0,2518332,25457307,2,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,105.993,4,243508
193,1748,Harry Styles ,Daydreaming,2.0,9,0,2381025,24763267,2,0.707,0.811,4,-5.298,0,0.0304,0.311,0.0152,0.131,113.971,4,187342
196,1802,Drake ,Massive,3.0,8,0,2163276,23891905,8,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,124.994,3,336924
